jargon,translation,discipline
Cantilever,"A long projecting beam or girder fixed at only one end, used in bridge construction.",Architecture
Facade,"The face of a building, especially the principal front that looks onto a street or open space.",Architecture
Fenestration,The design and placement of windows in a building.,Architecture
Pediment,"The triangular upper part of the front of a building in classical style, typically surmounting a portico of columns.",Architecture
Quoin,"The outside corner of a wall or building, often reinforced and made more prominent than the rest of the wall.",Architecture
Vernacular Architecture,A style of architecture which uses local materials and traditions to construct buildings.,Architecture
Pilaster,A rectangular column that projects only slightly from a wall and resembles a classical column.,Architecture
Architrave,"The lowest part of an entablature in classical architecture, resting directly on top of the columns.",Architecture
Clerestory,An upper portion of a wall containing windows for supplying natural light to a building.,Architecture
Cornice,"The top section of an entablature, often projecting from the wall to throw rainwater clear of the building.",Architecture
Load-Bearing Wall,"A wall that supports the weight of the house above it, in addition to its own weight.",Architecture
Mullion,A vertical or horizontal element that forms a division between units of a window or screen.,Architecture
Parapet,"A low protective wall or barrier at the edge of a balcony, roof, or bridge.",Architecture
Revetment,"A retaining wall or facing of masonry or other material, supporting or protecting a rampart, embankment, or the like.",Architecture
Truss,"A framework, typically consisting of rafters, posts, and struts, supporting a roof, bridge, or other structure.",Architecture
Architectural Programming,A process for researching and deciding on the goals and requirements of a construction project before starting the design phase.,Architecture
Baluster,"Short pillars or columns in a series that support a rail, often used on staircases or balconies.",Architecture
Revit,A software program used in architectural design to create 3D models of buildings.,Architecture
Zoning,Governmental regulations that control the use of land within a community.,Architecture
Entablature,"A horizontal structure supported by columns, usually consists of an architrave, a frieze, and a cornice.",Architecture
Gable,The triangular upper part of a wall that encloses the end of a pitched roof.,Architecture
Hip Roof,"A type of roof where all sides slope downwards to the walls, usually with a gentle slope.",Architecture
Lintel,"A horizontal support of timber, stone, concrete, or steel across the top of a door or window.",Architecture
Buttress,An architectural structure built against or projecting from a wall which serves to support or reinforce the wall.,Architecture
Dormer,A window that projects vertically from a sloping roof.,Architecture
Eaves,The part of a roof that meets or overhangs the walls of a building.,Architecture
I-beam,"A beam with an I or H-shaped cross-section, used in construction for its ability to handle a lot of weight.",Architecture
Joist,Horizontal structural elements that are used to support a ceiling or floor.,Architecture
Façade,"The face or front of a building, often the most decorative part.",Architecture
Vault,"An arched form used to provide a space with a ceiling or roof, often seen in churches or cathedrals.",Architecture
